rec-id,version,first-name,surname,birth-name,postcode,city,ssn,birth-year,birth-month,birth-day
rec-00004,dup-1,isabella,snelling,,77978,schuttertal,223521054,1982,3,26
rec-00018,dup-1,mia,snell,,14641,nauen,203757562,1970,7,24
rec-00022,dup-1,jessica,hassall,,47638,straelen,612885978,1957,4,30
rec-00042,dup-1,sarah,green,,47137,duisburg,776237765,1954,7,3
rec-00051,dup-1,nasyah,filip,,97799,zeitlofs,210900415,1980,11,11
rec-00055,dup-1,alice,cutcliffe,,1109,dresden,702447537,1986,12,15
rec-00056,dup-1,kayla,mewett,,9126,chemnitz,546211963,1989,8,20
rec-00059,dup-1,jessica,nguyen,walkey,67346,speyer,372881740,1942,3,22
rec-00061,dup-1,alyssa,shepherd,leblond,27570,bremerhaven,68273238,1990,10,14
rec-00062,dup-1,portia,mahony,,6217,merseburg,636483221,2014,9,18
rec-00072,dup-1,naomi,vincent,,45711,datteln,594299681,1973,4,21
rec-00073,dup-1,makenzi,berry,,22399,hamburg,797776872,2010,7,6
rec-00094,dup-1,takeisha,needham,lablack,74348,lauffen am neckar,74101042,2019,6,28
rec-00095,dup-1,zoe,egan,,99099,erfurt,445728927,2008,10,25
rec-00115,dup-1,charlotte,rees,,41540,dormagen,421854141,1950,6,18
rec-00121,dup-1,bailey,white,,26842,ostrhauderfehn,372409729,1982,12,19
rec-00124,dup-1,alana,wahlstedt,,56593,horhausen (westerwald),320930935,2003,5,13
rec-00129,dup-1,brianna,campbell,clarke,45356,essen,778125283,1989,5,15
rec-00133,dup-1,lauren,nicolle,,51580,reichshof,118701229,1982,10,4
rec-00135,dup-1,michelle,clarke,aarts,45886,gelsenkirchen,796779962,1999,12,30
rec-00140,dup-1,corie,wilde,,16259,bad freienwalde,35192953,2020,11,14
rec-00153,dup-1,teagan,hage,bradshaw,29643,neuenkirchen,593192603,1996,8,9
rec-00157,dup-1,lauren,burnell,,71549,auenwald,500888929,1949,8,11
rec-00161,dup-1,talena,petersen,,14943,luckenwalde,135824335,1939,5,3
rec-00174,dup-1,kelsey,vimpany,,41539,dormagen,482334739,2007,12,16
rec-00186,dup-1,phoebe,bradshaw,,37639,bevern,119858487,1964,10,20
rec-00188,dup-1,lucy,,green,75056,sulzfeld,868493729,1935,2,25
rec-00196,dup-1,takeisha,belding,grdobic,18465,tribsees,84315037,1957,8,14
rec-00218,dup-1,rachel,campbell,,51580,reichshof,19382053,2010,6,1
rec-00225,dup-1,emma,butt,,60437,frankfurt am main,606689530,1961,7,8
rec-00226,dup-1,tara,white,sandiford,47506,neukirchen-vluyn,599631323,1993,10,12
rec-00228,dup-1,chanteole,green,,13407,berlin-west,486520912,1935,12,31
rec-00235,dup-1,bridget,lenartowicz,monaco,74934,reichartshausen,528355470,1955,9,29
rec-00253,dup-1,stella,noack,,75446,wiernsheim,39635490,1965,10,7
rec-00259,dup-1,alyssa,meadows,,16341,panketal,73461247,2011,2,28
rec-00283,dup-1,hannah,rankine,,65582,diez,159158576,1974,8,12
rec-00286,dup-1,danielle,falkous,iovino,97717,euerdorf,149522506,1942,10,27
rec-00316,dup-1,rachel,nalpantidis,,89299,unterroth,591284018,2014,12,9
rec-00340,dup-1,imogen,white,rankine,38459,bahrdorf,865888794,1998,9,19
